Week,Session,Day,Textbook Chapter,Textbook Topic,Lesson Focus,Practice / Assignment
1,1,Tue,Chapter 9.1,Geometrical representation of vectors,"Introduction to vectors in 2D and 3D; position vectors, displacement vectors, magnitude, and unit vectors.","Basic vector notation, magnitude, unit vector, and vector between two points."
1,1,Tue,Chapter 9.2,Introduction to vector algebra,"Vector addition, subtraction, scalar multiplication, parallel vectors, and simple geometric interpretation.",Short practice set on vector operations and parallel vector conditions.
1,2,Thur,Chapter 9.3,Scalar product and its properties,Dot product in component form and geometric form; angles between vectors; perpendicular vectors.,"Angle and perpendicularity questions, including unknown parameter problems."
1,2,Thur,Chapter 9.5,Vector product and properties,"Cross product calculation, perpendicular vectors, and area interpretation for triangles and parallelograms.",Cross product calculation and area questions.
1,3,Sat,Chapter 9.4,Vector equation of a line,"Vector, parametric, and Cartesian forms of a 3D line; lines through two points; point-on-line checks.",Line equation conversions and point-on-line problems.
1,3,Sat,Chapter 9.4,Vector equation of a line,"Relationships between lines: parallel, intersecting, and skew lines. Emphasis on setting up parameters carefully.",Mixed line relationship questions.
2,4,Tue,Chapter 9.6,Vector equation of a plane,Vector and Cartesian equations of a plane; normal vectors; forming a plane from given conditions.,"Plane equation problems using a point and normal vector, or three points."
2,4,Tue,Chapter 9.7,"Lines, planes and angles","Line-plane intersection, angle between lines, angle between a line and a plane, and angle between planes.",Line-plane intersection and angle practice.
2,4,Tue,Chapter 9.8,Application of vectors,Consolidation of vector modelling questions and applied vector problems.,Chapter 9 mixed exam-style practice.
2,5,Thur,Chapter 10.1,Forms of a complex number,"Complex numbers, real and imaginary parts, conjugates, Argand diagrams, modulus, argument, and polar form.",Cartesian-polar conversion and Argand diagram questions.
2,5,Thur,Chapter 10.2,Operations with complex numbers in polar form,Multiplication and division of complex numbers in polar form as scaling and rotation.,Operations in polar form and interpretation on the Argand diagram.
2,6,Sat,Chapter 10.3,Powers and roots of complex numbers in polar form,"De Moivre's theorem, powers, nth roots, and geometric distribution of roots on the Argand diagram.",Powers and roots problems; Chapter 10 review set.
3,7,Tue,Chapter 11.1,Axiomatic probability systems,"Sample spaces, events, complements, unions, intersections, mutually exclusive events, independence, and conditional probability.","Venn diagram, tree diagram, conditional probability, and independence questions."
3,8,Thur,Chapter 11.2,Probability distributions,"Discrete random variables, probability distribution tables, expected value, variance, and standard deviation.","Distribution table, E(X), E(X^2), Var(X), and standard deviation practice."
3,8,Thur,Chapter 11.3,Continuous random variables,"Continuous random variables, probability density functions, area under a curve, and integration-based probability.","PDF constant, interval probability, and simple CDF-style questions."
3,9,Sat,Chapter 11.4,Binomial distribution,"Binomial conditions, X~B(n,p), exact probability, cumulative probability, complements, mean, and variance.",Binomial exact/cumulative probability and calculator practice.
4,10,Tue,Chapter 11.5,Normal distribution,"Normal distribution shape, mean and standard deviation, z-scores, normal CDF, inverse normal, and modelling interpretation.","Normal CDF, inverse normal, and unknown mean/standard deviation questions."
4,11,Thur,Chapter 12,Exploration,"Introduction to the Exploration: purpose, assessment focus, research question design, and possible topics from vectors, complex numbers, and probability.",Draft two possible Exploration ideas with a research question and relevant mathematics.
4,12,Sat,Chapters 9-12,Final consolidation,"Cumulative review across vectors, complex numbers, probability distributions, and Exploration planning. Focus on connecting textbook concepts to exam-style questions.",Mixed mini mock and individual weakness checklist.
